date,montant,categorie,description
2024-11-07,100.17,Logement,Remettre dieu cela peser verser face environ.
2025-06-21,295.68,Alimentation,Gauche vendre lutte lourd moitié queue preuve.
2025-03-28,17.76,Abonnement,Échapper vrai plusieurs retomber obéir autour part surprendre.
2025-01-11,346.41,Santé,Dormir intéresser détacher.
2024-12-17,221.9,Alimentation,Corps regarder rompre il femme.
2024-10-31,354.0,Santé,Feuille réussir écouter marquer condamner chaud.
2025-09-10,162.11,Logement,Regard vieux rassurer jeu au absence condition.
2024-09-29,306.08,Shopping,Hauteur où former naître serrer prétendre.
2024-10-03,230.03,Diverstissement,Neuf vague front offrir consentir même chance.
2025-05-28,140.48,Shopping,Joli bon gauche manquer.
2024-10-03,271.8,Abonnement,Bas sous blanc vêtir.
2024-10-23,373.32,Diverstissement,Seulement soutenir confiance emmener.
2025-09-10,457.35,Abonnement,Voir aide coeur échapper maintenant chemise posséder.
2024-12-24,170.83,Alimentation,Lune noir finir devoir.
2024-12-25,242.66,Alimentation,Commencer fidèle dieu revoir trou marché soldat inviter.
2025-04-21,89.22,Logement,An céder au palais intelligence payer.
2024-12-30,227.85,Abonnement,Sable diriger étranger décrire auprès exiger science.
2025-06-15,304.39,Transport,Déposer charge que pareil charger montagne afin de.
2025-07-22,139.74,Diverstissement,Soirée pont doute fille.
2025-09-14,389.27,Shopping,Confiance d'autres guerre avant général.
2025-08-04,226.22,Shopping,Fête prince étonner revenir avant trouver convenir.
2025-04-01,282.57,Logement,Accuser événement demander tête soutenir.
2025-04-15,15.05,Abonnement,Seconde taille faim.
2025-04-03,249.64,Transport,Chemise présent voyage.
2025-02-03,347.24,Logement,Éclater rien occuper mari.
2025-07-04,477.21,Logement,Faute profond pièce soutenir.
2025-01-04,75.77,Logement,Séparer endormir lentement printemps.
2024-12-12,279.14,Shopping,Miser vrai taire sombre transformer.
2024-11-20,392.85,Diverstissement,Vêtir car exiger.
2025-09-08,166.84,Transport,Certes oreille endormir défendre tout autour installer.
2025-07-18,298.67,Alimentation,Joindre révolution assister.
2025-01-11,471.43,Santé,Guerre quartier second accent.
2025-04-28,389.19,Shopping,Cependant aucun grave aucun chant grand personne.
2025-05-13,483.68,Voyage,Dessus témoin chair précipiter chez expression.
2025-01-15,486.87,Transport,Possible préférer police.
2025-07-08,493.18,Diverstissement,Présenter métier personne comme amuser événement obliger.
2025-07-23,419.04,Shopping,D'Abord gouvernement veille arriver toucher dessiner.
2025-05-28,204.73,Transport,Avance jusque regard neuf terme spectacle.
2025-04-17,408.85,Voyage,Faim principe répondre militaire.
2025-04-29,36.8,Logement,Fermer pourtant ici etc.
2024-10-19,229.5,Alimentation,Aider million discours ce nul.
2024-10-10,107.14,Santé,Nez gens quarante horizon bonheur.
2025-01-14,114.17,Shopping,Feuille premier toi nombre marché chat voisin.
2025-04-08,408.95,Abonnement,Désigner écarter désespoir toujours tenter à parce que si.
2025-06-12,492.99,Voyage,Français naître chemin ensuite train.
2024-11-02,364.28,Diverstissement,Endroit double de falloir revenir rouge.
2025-03-12,427.17,Voyage,Sentiment étranger entourer reprendre résultat public représenter secret.
2024-12-13,73.06,Transport,Garde mettre grâce attirer assister tout secret.
2025-07-14,130.47,Voyage,Nom bande occuper gris ne.
2025-03-14,130.02,Shopping,Surtout enfance également espace vrai confiance blanc.
2025-02-03,15.13,Voyage,Convenir détail larme tandis que moyen.
2025-07-28,126.01,Abonnement,Perdu intérieur fine conclure instant table dent.
2025-02-01,47.5,Diverstissement,Jeunesse mince rocher seulement tôt me voici.
2025-04-09,422.28,Alimentation,Étude seulement adresser groupe métier désert.
2025-04-22,310.16,Shopping,Voie étudier pénétrer grand danser porte.
2025-07-13,452.58,Voyage,Problème rideau tempête marier malheur image.
2025-03-06,450.69,Abonnement,Gros signer effet serrer page croire.
2024-10-11,85.87,Shopping,Tromper montagne voisin malheur.
2025-01-15,398.8,Abonnement,Neuf lit cinquante soirée histoire suivant.
2025-08-15,326.01,Diverstissement,Retourner tout exiger homme blanc.
2025-07-02,181.67,Abonnement,Ouvrage prononcer français fonder acte.
2025-02-13,239.26,Shopping,Tout prix loin temps loup million.
2025-07-08,348.85,Abonnement,Vieillard sortir élément retenir durer état arracher.
2024-10-29,151.65,Voyage,Transformer main prévenir observer jeune campagne.
2025-02-27,162.83,Diverstissement,Empire commencer animal pièce tracer dès doux.
2025-09-12,320.89,Santé,Lentement couler jeu connaître aspect campagne.
2024-12-28,492.23,Voyage,Prouver pain haut premier vivant dégager entretenir.
2025-07-07,18.66,Shopping,Voix emporter savoir tant.
2025-01-05,242.1,Shopping,Théâtre envelopper lieu dehors réserver d'abord.
2025-09-11,326.85,Transport,Robe absence surveiller paix.
2025-04-17,173.72,Alimentation,Souffrir éloigner car or.
2025-04-29,399.88,Shopping,Poids aider sourire commencement taire poète.
2025-04-20,361.1,Alimentation,Coup pied révéler.
2025-01-21,491.45,Voyage,Mot huit demi confondre transformer.
2025-05-05,327.32,Santé,Suite moment glisser mari prouver.
2025-02-26,113.31,Shopping,Chasser couleur rose.
2025-04-11,173.38,Diverstissement,Devant inviter trésor selon ton cour.
2025-06-14,357.53,Shopping,Tenter mon terreur pleurer fatigue.
2025-01-07,333.28,Santé,Qualité intérêt détruire petit près double.
2024-11-04,254.87,Diverstissement,Doucement céder salle espérer note avance durant.
2025-06-17,116.33,Shopping,Ni perdu consentir dès paix.
2024-12-20,312.8,Diverstissement,Voiture en musique vue.
2024-10-23,241.01,Alimentation,Surveiller mort vendre quart esprit source aile.
2025-04-27,494.66,Santé,Regard partie dieu coucher occasion hôtel perte.
2025-03-22,113.31,Diverstissement,Deux crainte simplement ajouter.
2024-10-29,9.97,Shopping,Souvenir là cinq anglais campagne espace.
2025-07-08,279.83,Transport,Froid auquel sombre comme grand paysan.
2025-01-31,415.76,Santé,Produire occasion raison chaleur satisfaire un courant.
2024-10-01,281.93,Alimentation,Prier garçon sens horizon égal.
2025-04-24,167.4,Voyage,Vivant répandre premier monter.
2025-01-08,328.71,Alimentation,Aide ventre fatiguer abri passé glace envoyer.
2025-01-06,284.32,Alimentation,Changer naturel voisin éloigner brûler sommet impression.
2025-02-02,392.78,Santé,Respecter oh autrement flot résister position curiosité clef.
2025-05-27,347.11,Santé,Somme race veille long vieux prince.
2025-09-11,413.46,Santé,Peur simple vingt tracer poursuivre pluie effet.
2025-09-11,406.6,Santé,En malade endormir nécessaire.
2025-04-28,129.69,Logement,Propos étendue tranquille disposer fonder chat famille.
2025-02-23,484.63,Shopping,Toucher reste connaissance terminer vol.
2025-01-01,424.32,Voyage,Vivre commun plein éternel.
2024-12-02,407.57,Alimentation,De propos nouveau.
2025-08-02,251.22,Abonnement,Aucun propre prochain coin idée titre ami monde.
2025-03-01,405.72,Santé,Importer pur réflexion couler.
2025-06-09,296.1,Abonnement,Pour changer demain.
2025-03-05,60.89,Voyage,Prêt appuyer pendant terreur auteur barbe alors.
2025-04-24,394.57,Logement,Il changement précis derrière blanc.
2025-03-14,156.4,Diverstissement,Élément apercevoir contraire on nu.
2024-10-13,313.35,Voyage,Appartenir comment peine dès poids.
2025-02-06,120.3,Alimentation,Ciel étroit auprès fois ennemi fête vert.
2025-07-18,162.77,Diverstissement,Regarder siège nuage important dire est dresser.
2025-03-30,23.84,Shopping,Claire rejeter corps avant.
2025-04-17,157.89,Abonnement,Inviter animer personne avancer.
2024-11-17,33.43,Voyage,Avis terreur essuyer haut dieu village réussir.
2024-10-08,414.12,Transport,Penser depuis devant.
2025-05-10,425.96,Abonnement,Dimanche devant assurer guère colline former.
2025-07-01,282.89,Abonnement,Souvent noir endormir protéger charger.
2025-03-01,23.98,Abonnement,Quant À impossible notre nous.
2025-08-20,154.86,Logement,Fidèle bouche marier trouver perdre français bête assez.
2025-03-16,233.34,Shopping,Lutter émotion colon dépasser.
2024-10-13,5.12,Abonnement,Mariage durer diriger humain réussir éteindre bruit sentier.
2025-03-21,60.22,Abonnement,Haute avec accompagner.
2025-05-20,465.9,Logement,Règle mince écarter blond.
2024-10-21,312.65,Transport,Présenter joli chute trace.
2024-11-17,125.67,Transport,Glisser quatre maître.
2025-08-28,256.92,Logement,Apporter religion préférer.
2024-12-26,98.79,Voyage,Bruit partout tempête siècle inutile.
2025-08-31,11.36,Transport,Exposer sac tour.
2024-11-23,94.92,Shopping,Point crise vague prince terme prétendre renverser.
2025-07-29,129.75,Voyage,Abri tranquille année.
2025-05-24,494.33,Santé,Vraiment naissance apporter écraser situation debout devoir.
2025-03-13,307.53,Diverstissement,Train passé empire charge maintenir réveiller.
2024-12-06,468.09,Transport,Désert sur bord condition juste mer.
2025-06-03,239.05,Transport,Dormir étudier article mensonge seconde.
2025-05-23,133.14,Santé,Complètement oui oeuvre cela compagnon.
2025-03-10,159.5,Diverstissement,Principe monsieur quitter sommeil chaleur mais poésie.
2024-10-08,64.45,Diverstissement,Franc geste séparer palais nommer.
2025-02-20,94.5,Abonnement,Presser propre contenir connaître prononcer droit exprimer.
2025-05-14,416.6,Transport,Vendre folie jeu souffler.
2025-05-12,10.52,Diverstissement,Rester minute construire un depuis passé.
2024-11-23,250.96,Logement,Dur roman gauche saison.
2025-02-05,402.79,Diverstissement,Hauteur venir loin découvrir.
2025-01-05,91.78,Diverstissement,Déjà crier haine rire depuis.
2024-12-02,229.77,Logement,Sérieux crainte loin forcer presque docteur plein brûler.
2025-01-21,116.93,Diverstissement,Verre avec faute cas.
2025-04-05,102.22,Alimentation,Pencher liberté plan apprendre relation recherche.
2025-07-26,191.38,Shopping,Bas lentement possible retirer combien poésie.
2025-05-31,34.74,Santé,Quitter danser amener.
2025-01-31,317.33,Santé,Ancien trésor réflexion est médecin.
2024-12-13,45.67,Santé,Gloire moment supposer.
2024-10-19,96.61,Santé,Ah juger menacer recueillir sac ici portier sauter.
2025-03-24,372.0,Santé,Semaine fortune acheter travail juste se professeur derrière.
2025-09-02,148.13,Diverstissement,Pénétrer recevoir essayer six plaisir billet.
2025-08-21,429.83,Logement,Feu sien oreille protéger.
2025-08-27,178.34,Voyage,Ministre entretenir chance révolution observer honneur franc votre.
2025-03-10,26.55,Transport,Moindre envie accepter tirer.
2024-09-17,87.04,Logement,Haut ci cuisine peser bras énergie situation rouler.
2025-06-29,373.47,Voyage,Sauvage vision relation enlever.
2025-07-18,112.92,Logement,Accuser trésor sien coucher absolu chien cercle.
2025-03-25,198.98,Shopping,Arme réflexion bataille joli avancer après.
2025-09-06,64.81,Santé,Mesure cacher fermer haut.
2025-05-08,78.98,Shopping,Arriver vers aile rang.
2025-01-31,31.23,Transport,Gloire recevoir chef près.
2025-02-08,127.42,Transport,Autant toucher vêtir réflexion saisir croire chance.
2025-07-12,443.54,Logement,Heure ouvert principe amener frère forêt palais plante.
2025-01-27,292.12,Transport,Croiser différent siège grave prochain trembler en tout.
2024-12-14,189.1,Diverstissement,Vif passer garde mer existence.
2024-11-19,413.49,Logement,Article toi public musique.
2025-03-09,119.05,Voyage,Enfin famille étoile écouter agiter hiver.
2025-07-01,44.53,Shopping,Coin grâce remonter avec.
2025-06-09,25.97,Abonnement,Fauteuil donc saint séparer convenir.
2025-05-17,23.58,Alimentation,Dès malgré distance tapis roman ensemble.
2024-12-15,99.76,Transport,Début ah apporter passage soudain pluie.
2025-04-13,311.58,Abonnement,Tendre je étage voir personnage fixe.
2025-02-08,279.47,Shopping,Cas froid mon nécessaire choix expliquer.
2025-03-07,224.38,Transport,Drame petit succès croiser.
2025-01-03,58.33,Santé,Gens plusieurs vide.
2025-06-01,367.92,Alimentation,Durant mêler rester partout en avoir.
2025-05-29,358.2,Abonnement,Avec roi instinct acheter.
2024-12-03,182.25,Santé,Tant lors soldat remettre membre.
2024-11-01,180.51,Logement,Guère fixer terre éteindre porter possible soldat faveur.
2025-08-20,256.68,Alimentation,Particulier loi renoncer changement nouveau froid aider.
2025-06-19,5.81,Diverstissement,Émotion femme crise habitant devenir marcher fort papa.
2025-02-21,38.33,Voyage,Lettre peau enfermer tapis flot chef.
2025-07-04,235.85,Transport,Départ creuser début près chaque banc vert.
2025-02-09,307.04,Shopping,Dur assurer avec roi.
2025-05-29,188.87,Voyage,Plante nord enfant.
2024-12-07,386.14,Transport,Intelligence regretter amener métier.
2024-12-10,394.79,Alimentation,Rare abattre réfléchir étranger charger installer en accord.
2025-05-02,244.64,Abonnement,Usage espoir palais avant beau plaisir perdu.
2025-06-17,496.85,Transport,Paquet perdre obéir corde or souvent bas.
2024-11-30,300.96,Abonnement,Un étroit ordre réponse social trésor.
2024-12-23,407.66,Abonnement,Exemple oui métier épaule spectacle lutter.
2024-09-27,276.93,Abonnement,Partout attaquer malheur vie poste veille.
2024-10-11,492.27,Santé,Digne voyager dessiner engager amuser violent visage.
2025-06-20,170.51,Santé,Armée quart autant.
2025-04-23,227.94,Abonnement,Profiter leur jamais seul faible.
2024-09-18,103.37,Voyage,Monter salle oeuvre vert exemple or ignorer achever.
2024-10-25,378.84,Logement,Condamner masse oncle condition terreur emmener.
2024-12-14,476.81,Abonnement,Songer coûter instinct oncle gauche joie.
2025-07-14,223.85,Voyage,Armée fille puisque guère.
2025-01-04,162.81,Shopping,Pouvoir dimanche d'abord chat montrer prière.
2025-04-24,161.92,Santé,Abri arrière sans quarante sur blanc.
2025-03-01,131.91,Transport,Déposer bleu passé papier commun avant.
2025-01-18,291.52,Santé,Relever si réserver sein voisin derrière malheur.
2025-03-10,273.0,Alimentation,Droit occasion pied terreur poche sombre.
2025-01-16,75.27,Alimentation,Promettre juge étage.
2024-09-19,471.65,Abonnement,Désert réserver si rencontre parmi.
2024-12-01,174.5,Santé,Danser poussière commander dernier visible plante arrêter.
2025-07-09,238.93,Abonnement,Pencher élever anglais douter.
2025-01-31,429.35,Transport,Réel vivant chaque par bord suivre.
2025-01-29,410.7,Shopping,Écarter beauté nuit prison pénétrer fin.
2025-08-15,117.42,Abonnement,Hasard parvenir petit secrétaire tellement commencer dont.
2025-08-24,86.36,Alimentation,Chair cacher menacer grandir durer terre travers.
